"Scenario";"LUCC";"Model";"Region";"Years";"Metric";"Taxa";"Units";"Value";"Scale";"Family";"Source";"Original_model_metric"
"Historical";"LU";"AIM";"Global";"2015";"Species richness";"Amphibians";"ABS";546;"GammaGlobal";"Sgamma";"CSV";"Diversity_Current"
"Historical";"LU";"AIM";"Global";"2015";"Species richness";"Birds";"ABS";5121;"GammaGlobal";"Sgamma";"CSV";"Diversity_Current"
"Historical";"LU";"AIM";"Global";"2015";"Species richness";"Mammals";"ABS";1213;"GammaGlobal";"Sgamma";"CSV";"Diversity_Current"
"Historical";"LU";"AIM";"Global";"2015";"Species richness";"Plants";"ABS";1706;"GammaGlobal";"Sgamma";"CSV";"Diversity_Current"
"Historical";"LU";"AIM";"Global";"2015";"Species richness";"Reptiles";"ABS";416;"GammaGlobal";"Sgamma";"CSV";"Diversity_Current"
"Historical";"LU";"BILBI";"Global";"1900-2015";"Species richness";"Plants";"%";-6,296224785;"GammaGlobal";"Sgamma";"CSV";"pAM"
"SSP1xRCP2.6";"LU";"BILBI";"Global";"2015-2050";"Species richness";"Plants";"%";0,30797246;"GammaGlobal";"Sgamma";"CSV";"pAM"
"SSP3xRCP6.0";"LU";"BILBI";"Global";"2015-2050";"Species richness";"Plants";"%";-1,401909416;"GammaGlobal";"Sgamma";"CSV";"pAM"
"SSP5xRCP8.5";"LU";"BILBI";"Global";"2015-2050";"Species richness";"Plants";"%";-0,851280102;"GammaGlobal";"Sgamma";"CSV";"pAM"
"SSP1xRCP2.6";"LUCC";"BILBI";"Global";"2015-2050";"Species richness";"Plants";"%";-11,30117154;"GammaGlobal";"Sgamma";"CSV";"pAM"
"SSP3xRCP6.0";"LUCC";"BILBI";"Global";"2015-2050";"Species richness";"Plants";"%";-14,88567642;"GammaGlobal";"Sgamma";"CSV";"pAM"
"SSP5xRCP8.5";"LUCC";"BILBI";"Global";"2015-2050";"Species richness";"Plants";"%";-17,3078254;"GammaGlobal";"Sgamma";"CSV";"pAM"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness (diversity-weighted)";"Birds";"%";4,38634166367496;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Birds";"%";-0,179142034972456;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Birds";"%";0,495693739491209;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Birds";"%";-0,0222794742582414;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness (diversity-weighted)";"Forest_Birds";"%";-6,07905666649289;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Forest_Birds";"%";-0,674962365830685;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Forest_Birds";"%";-2,09539788490881;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Forest_Birds";"%";-2,1840482361201;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness (diversity-weighted)";"Other_Birds";"%";6,36654670000521;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Other_Birds";"%";-0,0900477899130866;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Other_Birds";"%";0,940068258033839;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Other_Birds";"%";0,343399798191317;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness";"Birds";"%";3,42166740512907;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Birds";"%";-0,0584744106565188;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Birds";"%";0,394480091826086;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Birds";"%";0,0552664027387825;"Alpha";"Salpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness";"Forest_Birds";"%";-5,73966017052165;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Forest_Birds";"%";-0,442506116896729;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Forest_Birds";"%";-1,91321861841033;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Forest_Birds";"%";-1,48324890899309;"Alpha";"Salpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness";"Other_Birds";"%";4,72315754649115;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Other_Birds";"%";0,00929078971485214;"Alpha";"Salpha";"Raster";"SR_local-Global"
